"severity","code","table","id","field","message","excerpt","meta"
"P2","generated_exam_stale_question_reference","generated_exams","weakness-3fc0ec7e-5d7c-4b2a-abe0-ce865e3718e7-1778478191913","problems","Generated exam has a usable problem snapshot, but its original question ID is not present in questions.","","{""questionId"":""q-import-1778062406488-17-tj4x""}"
"P2","generated_exam_stale_question_reference","generated_exams","weakness-3fc0ec7e-5d7c-4b2a-abe0-ce865e3718e7-1778835955910","problems","Generated exam has a usable problem snapshot, but its original question ID is not present in questions.","","{""questionId"":""q-sample-1778085491269-0""}"
"P2","generated_exam_stale_question_reference","generated_exams","weakness-60131359-d16c-4a23-84d3-e8a731de9261-1778476145917","problems","Generated exam has a usable problem snapshot, but its original question ID is not present in questions.","","{""questionId"":""q-import-1778062406488-17-tj4x""}"
"P3","duplicate_question_text","questions","q-2017-kwangwoon-30","question","Question text duplicates another row after normalization.","타원$\dfrac{x^2}{4}+y^2=1$위의점$(2,0)$에서곡률중심의$x$좌표와$y$좌표의합은?","{""duplicateIds"":[""q-2017-kwangwoon-30"",""q-daily-mv-r4-6""]}"
"P3","duplicate_question_text","questions","q-2017-sogang-01","question","Question text duplicates another row after normalization.","극한$\displaystyle\lim_{x\to\infty}\!\left\{x-x^2\ln\!\left(\dfrac{1+x}{x}\right)\right\}$의값은?","{""duplicateIds"":[""q-2017-sogang-01"",""q-daily-r20-1""]}"
"P3","duplicate_question_text","questions","q-2018-hanyang-12","question","Question text duplicates another row after normalization.","$x=0$에서$f(x)=\dfrac{\cosx}{1+x^2+x^4}$의5차테일러다항식을$p(x)=a_0+a_1x+a_2x^2+a_3x^3+a_4x^4+a_5x^5$이라할때,$a_0+a_1+a_2+a_3+a_4+a_5$의값은?","{""duplicateIds"":[""q-2018-hanyang-12"",""q-daily-r17-4""]}"
"P3","duplicate_question_text","questions","q-2018-kwangwoon-27","question","Question text duplicates another row after normalization.","$f(x)=\secx$일때$f''\!\left(\dfrac{\pi}{4}\right)$의값은?","{""duplicateIds"":[""q-2018-kwangwoon-27"",""q-daily-r12-4""]}"
"P3","duplicate_question_text","questions","q-2018-sogang-07","question","Question text duplicates another row after normalization.","적분$\displaystyle\int_0^1\cos(x^2)\,dx$의값에가장가까운근삿값은?","{""duplicateIds"":[""q-2018-sogang-07"",""q-daily-int-r30-1""]}"
"P3","duplicate_question_text","questions","q-2020-soongsil-23","question","Question text duplicates another row after normalization.","이중적분$\!\displaystyle\int_0^4\!\!\int_{\sqrtx}^2\dfrac{1}{1+y^3}dy\,dx$의값은?","{""duplicateIds"":[""q-2020-soongsil-23"",""q-2024-dgu-20""]}"
"P3","duplicate_question_text","questions","q-2021-sookmyung-11","question","Question text duplicates another row after normalization.","급수$\displaystyle\sum_{n=1}^{\infty}\dfrac{n}{(n+1)!}$의값은?","{""duplicateIds"":[""q-2021-sookmyung-11"",""q-2025-sookmyung-10""]}"
"P3","duplicate_question_text","questions","q-2021am-sejong-02","question","Question text duplicates another row after normalization.","극한$\displaystyle\lim_{x\to\infty}\!\left(xe^{1/x}-x\right)$의값은?","{""duplicateIds"":[""q-2021am-sejong-02"",""q-daily-r20-3""]}"
"P3","duplicate_question_text","questions","q-2022-sejong-06","question","Question text duplicates another row after normalization.","극곡선$r=\theta^2$($0\le\theta\le\sqrt{5}$)의길이를구하면?","{""duplicateIds"":[""q-2022-sejong-06"",""q-2023-sejong-04""]}"
"P3","duplicate_question_text","questions","q-2023-sejong-04","question","Question text duplicates another row after normalization.","극곡선$r=\theta^2$($0\le\theta\le\sqrt{5}$)의길이를구하면?","{""duplicateIds"":[""q-2022-sejong-06"",""q-2023-sejong-04""]}"
"P3","duplicate_question_text","questions","q-2023pm-dankook-40","question","Question text duplicates another row after normalization.","$\displaystyle\int_0^2\dfrac{1}{\sqrt{|x-1|}}\,dx$의값은?","{""duplicateIds"":[""q-2023pm-dankook-40"",""q-daily-int-r15-3""]}"
"P3","duplicate_question_text","questions","q-2024-dgu-20","question","Question text duplicates another row after normalization.","이중적분$\!\displaystyle\int_0^4\!\!\int_{\sqrtx}^2\dfrac{1}{1+y^3}dy\,dx$의값은?","{""duplicateIds"":[""q-2020-soongsil-23"",""q-2024-dgu-20""]}"
"P3","duplicate_question_text","questions","q-2025-sookmyung-10","question","Question text duplicates another row after normalization.","급수$\displaystyle\sum_{n=1}^{\infty}\dfrac{n}{(n+1)!}$의값은?","{""duplicateIds"":[""q-2021-sookmyung-11"",""q-2025-sookmyung-10""]}"
"P3","duplicate_question_text","questions","q-daily-int-r15-3","question","Question text duplicates another row after normalization.","$\displaystyle\int_0^2\dfrac{1}{\sqrt{|x-1|}}\,dx$의값은?","{""duplicateIds"":[""q-2023pm-dankook-40"",""q-daily-int-r15-3""]}"
"P3","duplicate_question_text","questions","q-daily-int-r30-1","question","Question text duplicates another row after normalization.","적분$\displaystyle\int_0^1\cos(x^2)\,dx$의값에가장가까운근삿값은?","{""duplicateIds"":[""q-2018-sogang-07"",""q-daily-int-r30-1""]}"
"P3","duplicate_question_text","questions","q-daily-mv-r4-6","question","Question text duplicates another row after normalization.","타원$\dfrac{x^2}{4}+y^2=1$위의점$(2,0)$에서곡률중심의$x$좌표와$y$좌표의합은?","{""duplicateIds"":[""q-2017-kwangwoon-30"",""q-daily-mv-r4-6""]}"
"P3","duplicate_question_text","questions","q-daily-r12-4","question","Question text duplicates another row after normalization.","$f(x)=\secx$일때$f''\!\left(\dfrac{\pi}{4}\right)$의값은?","{""duplicateIds"":[""q-2018-kwangwoon-27"",""q-daily-r12-4""]}"
"P3","duplicate_question_text","questions","q-daily-r17-4","question","Question text duplicates another row after normalization.","$x=0$에서$f(x)=\dfrac{\cosx}{1+x^2+x^4}$의5차테일러다항식을$p(x)=a_0+a_1x+a_2x^2+a_3x^3+a_4x^4+a_5x^5$이라할때,$a_0+a_1+a_2+a_3+a_4+a_5$의값은?","{""duplicateIds"":[""q-2018-hanyang-12"",""q-daily-r17-4""]}"
"P3","duplicate_question_text","questions","q-daily-r20-1","question","Question text duplicates another row after normalization.","극한$\displaystyle\lim_{x\to\infty}\!\left\{x-x^2\ln\!\left(\dfrac{1+x}{x}\right)\right\}$의값은?","{""duplicateIds"":[""q-2017-sogang-01"",""q-daily-r20-1""]}"
"P3","duplicate_question_text","questions","q-daily-r20-3","question","Question text duplicates another row after normalization.","극한$\displaystyle\lim_{x\to\infty}\!\left(xe^{1/x}-x\right)$의값은?","{""duplicateIds"":[""q-2021am-sejong-02"",""q-daily-r20-3""]}"
"P3","duplicate_question_text","questions","q-white-final-a-r05-25","question","Question text duplicates another row after normalization.","영역$E=\left\{(x,y,z)\midx^{2}+y^{2}\leqz,z\leq4\right\}$경계곡면을$\partialE$라하고$\partialE$의각점에서외부로향하는단위법선벡터를$n$이라할때,벡터장$v(x,y,z)=\left(\cosz+xy^{2},xe^{-z},\siny+x^{","{""duplicateIds"":[""q-white-final-a-r05-25"",""q-white-final-a-r13-4""]}"
"P3","duplicate_question_text","questions","q-white-final-a-r10-7","question","Question text duplicates another row after normalization.","이중적분$\int_{0}^{2}\int_{\frac{y}{2}}^{\frac{y+4}{2}}y^{3}(2x-y)e^{(2x-y)^{2}}dxdy$의값을구하면?","{""duplicateIds"":[""q-white-final-a-r10-7"",""q-white-final-a-r10-8""]}"
"P3","duplicate_question_text","questions","q-white-final-a-r10-8","question","Question text duplicates another row after normalization.","이중적분$\int_{0}^{2}\int_{\frac{y}{2}}^{\frac{y+4}{2}}y^{3}(2x-y)e^{(2x-y)^{2}}dxdy$의값을구하면?","{""duplicateIds"":[""q-white-final-a-r10-7"",""q-white-final-a-r10-8""]}"
"P3","duplicate_question_text","questions","q-white-final-a-r13-4","question","Question text duplicates another row after normalization.","영역$E=\left\{(x,y,z)\midx^{2}+y^{2}\leqz,z\leq4\right\}$경계곡면을$\partialE$라하고$\partialE$의각점에서외부로향하는단위법선벡터를$n$이라할때,벡터장$v(x,y,z)=\left(\cosz+xy^{2},xe^{-z},\siny+x^{","{""duplicateIds"":[""q-white-final-a-r05-25"",""q-white-final-a-r13-4""]}"
"P3","duplicate_question_text","questions","q-white-final-a-r14-23","question","Question text duplicates another row after normalization.","평면$R=j+\lambda(i+j+3k)+\mu(i+k)$($\lambda,\mu$는임의의실수)와직선$r=3i-k+t(-i+2j+k)$($t$는임의의실수)가이루는각을$\theta$라할때,$\cos\theta$의값은?","{""duplicateIds"":[""q-white-final-a-r14-23"",""q-white-final-a-r14-24""]}"
"P3","duplicate_question_text","questions","q-white-final-a-r14-24","question","Question text duplicates another row after normalization.","평면$R=j+\lambda(i+j+3k)+\mu(i+k)$($\lambda,\mu$는임의의실수)와직선$r=3i-k+t(-i+2j+k)$($t$는임의의실수)가이루는각을$\theta$라할때,$\cos\theta$의값은?","{""duplicateIds"":[""q-white-final-a-r14-23"",""q-white-final-a-r14-24""]}"